PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=212 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=175 ms
64 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=139 ms
64 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=129 ms
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=155 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=157 ms
64 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=131 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=130 ms
64 bytes from 10.0.0.1: icmp_seq=11 ttl=64 time=148 ms
64 bytes from 10.0.0.1: icmp_seq=14 ttl=64 time=184 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=159 ms
64 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=147 ms
64 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=149 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=133 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=151 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=141 ms
64 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=135 ms
64 bytes from 10.0.0.1: icmp_seq=25 ttl=64 time=149 ms
64 bytes from 10.0.0.1: icmp_seq=26 ttl=64 time=145 ms
64 bytes from 10.0.0.1: icmp_seq=27 ttl=64 time=122 ms
64 bytes from 10.0.0.1: icmp_seq=28 ttl=64 time=128 ms
64 bytes from 10.0.0.1: icmp_seq=31 ttl=64 time=192 ms
64 bytes from 10.0.0.1: icmp_seq=32 ttl=64 time=172 ms
64 bytes from 10.0.0.1: icmp_seq=33 ttl=64 time=171 ms
64 bytes from 10.0.0.1: icmp_seq=34 ttl=64 time=165 ms
64 bytes from 10.0.0.1: icmp_seq=35 ttl=64 time=143 ms
64 bytes from 10.0.0.1: icmp_seq=36 ttl=64 time=139 ms
64 bytes from 10.0.0.1: icmp_seq=37 ttl=64 time=144 ms
64 bytes from 10.0.0.1: icmp_seq=38 ttl=64 time=151 ms
64 bytes from 10.0.0.1: icmp_seq=40 ttl=64 time=175 ms
64 bytes from 10.0.0.1: icmp_seq=41 ttl=64 time=160 ms
64 bytes from 10.0.0.1: icmp_seq=42 ttl=64 time=175 ms
64 bytes from 10.0.0.1: icmp_seq=43 ttl=64 time=156 ms
64 bytes from 10.0.0.1: icmp_seq=44 ttl=64 time=142 ms
64 bytes from 10.0.0.1: icmp_seq=46 ttl=64 time=138 ms
64 bytes from 10.0.0.1: icmp_seq=47 ttl=64 time=148 ms
64 bytes from 10.0.0.1: icmp_seq=48 ttl=64 time=160 ms
64 bytes from 10.0.0.1: icmp_seq=49 ttl=64 time=171 ms
64 bytes from 10.0.0.1: icmp_seq=51 ttl=64 time=196 ms
64 bytes from 10.0.0.1: icmp_seq=52 ttl=64 time=181 ms
64 bytes from 10.0.0.1: icmp_seq=53 ttl=64 time=172 ms
64 bytes from 10.0.0.1: icmp_seq=54 ttl=64 time=165 ms
64 bytes from 10.0.0.1: icmp_seq=55 ttl=64 time=155 ms
64 bytes from 10.0.0.1: icmp_seq=57 ttl=64 time=161 ms
64 bytes from 10.0.0.1: icmp_seq=58 ttl=64 time=154 ms
64 bytes from 10.0.0.1: icmp_seq=61 ttl=64 time=165 ms
64 bytes from 10.0.0.1: icmp_seq=62 ttl=64 time=178 ms
64 bytes from 10.0.0.1: icmp_seq=64 ttl=64 time=149 ms
64 bytes from 10.0.0.1: icmp_seq=65 ttl=64 time=149 ms
64 bytes from 10.0.0.1: icmp_seq=66 ttl=64 time=147 ms
64 bytes from 10.0.0.1: icmp_seq=67 ttl=64 time=136 ms
64 bytes from 10.0.0.1: icmp_seq=68 ttl=64 time=143 ms
64 bytes from 10.0.0.1: icmp_seq=69 ttl=64 time=133 ms
64 bytes from 10.0.0.1: icmp_seq=70 ttl=64 time=146 ms
64 bytes from 10.0.0.1: icmp_seq=71 ttl=64 time=144 ms
64 bytes from 10.0.0.1: icmp_seq=72 ttl=64 time=150 ms
64 bytes from 10.0.0.1: icmp_seq=73 ttl=64 time=172 ms
64 bytes from 10.0.0.1: icmp_seq=75 ttl=64 time=151 ms
64 bytes from 10.0.0.1: icmp_seq=76 ttl=64 time=131 ms
64 bytes from 10.0.0.1: icmp_seq=77 ttl=64 time=129 ms
64 bytes from 10.0.0.1: icmp_seq=78 ttl=64 time=127 ms
64 bytes from 10.0.0.1: icmp_seq=79 ttl=64 time=133 ms
64 bytes from 10.0.0.1: icmp_seq=80 ttl=64 time=139 ms
64 bytes from 10.0.0.1: icmp_seq=81 ttl=64 time=185 ms
64 bytes from 10.0.0.1: icmp_seq=82 ttl=64 time=200 ms
64 bytes from 10.0.0.1: icmp_seq=84 ttl=64 time=209 ms
64 bytes from 10.0.0.1: icmp_seq=85 ttl=64 time=205 ms
64 bytes from 10.0.0.1: icmp_seq=86 ttl=64 time=208 ms
64 bytes from 10.0.0.1: icmp_seq=87 ttl=64 time=214 ms
64 bytes from 10.0.0.1: icmp_seq=88 ttl=64 time=197 ms
64 bytes from 10.0.0.1: icmp_seq=89 ttl=64 time=192 ms
64 bytes from 10.0.0.1: icmp_seq=90 ttl=64 time=123 ms
64 bytes from 10.0.0.1: icmp_seq=91 ttl=64 time=65.0 ms
64 bytes from 10.0.0.1: icmp_seq=92 ttl=64 time=94.8 ms
64 bytes from 10.0.0.1: icmp_seq=93 ttl=64 time=110 ms
64 bytes from 10.0.0.1: icmp_seq=94 ttl=64 time=174 ms
64 bytes from 10.0.0.1: icmp_seq=95 ttl=64 time=204 ms
64 bytes from 10.0.0.1: icmp_seq=97 ttl=64 time=133 ms
64 bytes from 10.0.0.1: icmp_seq=98 ttl=64 time=127 ms
